hostname,city,region,country,loc,org,postal,timezone,anycast
scan-02.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-01.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
esx-test-ipmi.englab.mmu.nac.net,New York City,New York,US,"40.7143,-74.0060","AS8001 Cologix, Inc",10001,America/New_York,
ip-208-102-75-158.dynamic.fuse.net,Cincinnati,Ohio,US,"39.1271,-84.5144",AS6181 Cincinnati Bell Telephone Company LLC,45219,America/New_York,
,Toronto,Ontario,CA,"43.7064,-79.3986",AS29988 Rogers Communications Canada Inc.,M5A,America/Toronto,
scanner2.scanning.cybergreen.net,Ashburn,Virginia,US,"39.0437,-77.4875","AS14618 Amazon.com, Inc.",20147,America/New_York,
,Hoffman Estates,Illinois,US,"42.0428,-88.0798","AS7922 Comcast Cable Communications, LLC",60192,America/Chicago,
,New York City,New York,US,"40.7139,-74.0070","AS54825 Packet Host, Inc.",10007,America/New_York,
adsl-99-35-124-46.dsl.aus2tx.sbcglobal.net,Austin,Texas,US,"30.2672,-97.7431","AS7018 AT&T Enterprises, LLC",78701,America/Chicago,
,Caguas,Caguas,PR,"18.2341,-66.0485",AS14638 Liberty Communications of Puerto Rico LLC,00725,America/Puerto_Rico,
65-73-156-118.f01de59ac358d029412113945fa4df17.ip.frontiernet.net,Redmond,Washington,US,"47.6740,-122.1215","AS5650 Frontier Communications of America, Inc.",98052,America/Los_Angeles,
scan-09f.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-10d.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-11d.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-10e.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-11e.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-12d.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-10c.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-10f.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-09h.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-09m.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-09d.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-09.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-09e.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-12g.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-10k.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-11f.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-12e.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-10.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-09g.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-12f.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-11g.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-11k.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-10h.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-11h.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-10i.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-11.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-11i.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-09j.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-09l.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-11j.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-10m.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-12i.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-12j.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-12h.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-10j.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-12m.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-10l.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-11l.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-12k.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-12a.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-11m.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-12l.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-09a.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-11n.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-09o.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-10n.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-11a.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-10a.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-09i.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-11c.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-12.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-12c.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-12b.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-10g.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-11b.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-09b.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-10b.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-09c.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-09n.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-12b.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-09k.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
172-245-87-62-host.colocrossing.com,Buffalo,New York,US,"42.8865,-78.8784",AS36352 HostPapa,14202,America/New_York,
scan-04d.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-01f.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-02e.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-03d.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-04e.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-02h.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-03g.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-04h.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-01j.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-02i.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-03h.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-04i.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-01k.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-02j.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-03i.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-04j.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-01l.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-02k.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-03j.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-04k.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-01m.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-02l.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-03k.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
scan-04l.shadowserver.org,San Jose,California,US,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,95025,America/Los_Angeles,
